countyName,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,part_time_work_behavior_devices,full_time_work_behavior_devices,delivery_behavior_devices,median_non_home_dwell_time,candidate_device_count,median_percentage_time_home,mean_home_dwell_time,mean_non_home_dwell_time,mean_distance_traveled_from_home,stateFIPS,countyFIPS,Admin2,FIPS,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,CTYNAME,SUMLEV,STATE,COUNTY,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Barnstable,62.55802647412756,4358.088351383874,25.616943441636582,555.35293622142,3.088309265944645,1.9400481347773766,1.4363778580024067,36.05222623345367,160.45832129963898,87.4775631768953,617.7482465188241,211.15997077531372,7584.5492607873475,25.0,25001.0,Barnstable,25001.0,41.729805780000014,-70.28854339000003,1127.2068965517242,82.24137931034483,0.0,1044.9655172413793,611.7658106014368,8.902532617037606,Barnstable,50.0,25.0,1.0,6.0,9.0,22590.842105263157,10782.057416267942,11808.784688995216,10041.827751196171,11096.421052631578,318.8421052631579,271.1866028708134,86.67942583732058,79.0622009569378,136.9090909090909,158.2200956937799,7.617224880382775,5.971291866028708,190.1818181818182,197.92344497607655,10213.511961722488,11273.473684210527,413.3875598086124,370.9665071770335,152.04784688995215,150.4976076555024,188.57416267942583,211.07177033492823,16.660287081339714,15.444976076555024,10477.722488038278,11530.468899521531,9799.693779904306,10867.799043062201,295.7799043062201,251.17703349282297,73.63636363636364,67.83732057416267,130.06698564593302,156.16267942583733,5.186602870813397,4.30622009569378,173.35885167464116,183.1866028708134,9956.086124401914,11031.76076555024,379.17703349282294,340.82296650717706,133.5023923444976,134.58373205741626,179.6937799043062,207.13875598086125,13.167464114832535,12.746411483253588,304.3349282296651,278.3157894736842,242.13397129186603,228.62200956937798,23.0622009569378,20.00956937799043,13.043062200956937,11.224880382775119,6.842105263157895,2.0574162679425836,2.430622009569378,1.6650717703349283,16.822966507177032,14.736842105263158,257.42583732057415,241.71291866028707,34.21052631578947,30.14354066985646,18.545454545454547,15.913875598086124,8.880382775119617,3.9330143540669855,3.492822966507177,2.6985645933014353
Berkshire,41.618092725216734,3322.4696708848032,17.767420530217365,553.192461364493,1.8965196632742807,1.4094484231687399,1.2614273149893203,31.65964317125267,128.31333082045484,90.29174519411987,611.0042359951897,191.8462656830542,6562.0773607596075,25.0,25003.0,Berkshire,25003.0,42.37428440999998,-73.20524838000003,491.2758620689655,37.3448275862069,0.0,453.9310344827586,435.3950569855295,7.352941176470589,Berkshire,50.0,25.0,3.0,6.0,9.0,13595.464114832535,6560.727272727273,7034.736842105263,6086.0,6556.354066985646,223.8755980861244,200.5358851674641,20.124401913875598,17.22488038277512,85.20574162679426,108.35406698564593,2.354066985645933,3.0334928229665072,143.16746411483254,149.23444976076556,6220.028708133971,6696.086124401914,308.76555023923447,288.38277511961724,55.04306220095694,52.86124401913876,119.7511961722488,144.1531100478469,7.875598086124402,9.52153110047847,6277.732057416268,6764.44019138756,5855.291866028708,6337.368421052632,200.42105263157896,177.57894736842104,11.751196172248804,10.124401913875598,83.95215311004785,106.16267942583733,1.1196172248803828,1.9425837320574162,125.19617224880383,131.26315789473685,5972.717703349283,6460.832535885167,272.066985645933,252.2488038277512,41.79904306220096,41.377990430622006,117.03349282296651,139.78947368421052,5.7990430622009566,7.598086124401914,282.9952153110048,270.29665071770336,230.70813397129186,218.98564593301435,23.454545454545453,22.95693779904306,8.373205741626794,7.100478468899522,1.2535885167464116,2.1913875598086126,1.2344497607655502,1.0909090909090908,17.971291866028707,17.971291866028707,247.311004784689,235.25358851674642,36.698564593301434,36.133971291866025,13.24401913875598,11.483253588516746,2.7177033492822966,4.363636363636363,2.076555023923445,1.923444976076555
Bristol,79.04800048036508,2965.5929386333614,30.741567591369442,775.1307753892959,3.866694687962852,2.2510628077338777,1.838493254873704,30.121760538008886,177.06331211720908,93.87096993715224,724.1038675107367,197.5535406909251,6950.3558075566,25.0,25005.0,Bristol,25005.0,41.79228404,-71.10872210999997,5494.103448275862,298.58620689655174,0.0,5195.517241379311,1226.077771899996,5.829725829725831,Bristol,50.0,25.0,5.0,6.0,9.0,58307.54066985646,28243.655502392343,30063.885167464116,25494.133971291867,27271.82775119617,1373.3397129186603,1346.7464114832535,197.70334928229664,159.08133971291866,584.1626794258373,675.866028708134,30.641148325358852,29.52153110047847,563.6746411483253,580.8421052631579,26010.133971291867,27798.430622009568,1704.6124401913876,1692.1913875598086,351.55023923444975,326.0382775119617,719.311004784689,808.6698564593302,66.58373205741627,67.50239234449761,26215.76076555024,28052.325358851675,23968.019138755983,25735.75119617225,1129.1674641148325,1095.5023923444976,69.2535885167464,67.41626794258373,570.0861244019138,660.1626794258373,14.89952153110048,14.392344497607656,464.3349282296651,479.1004784688995,24393.32057416268,26170.019138755983,1388.2105263157894,1365.3875598086124,194.1818181818182,204.57416267942583,695.2057416267943,782.7751196172248,44.17224880382775,45.78947368421053,2027.8947368421052,2011.5598086124403,1526.1148325358852,1536.0765550239234,244.17224880382776,251.244019138756,128.44976076555025,91.66507177033493,14.076555023923445,15.703349282296651,15.741626794258373,15.129186602870814,99.33971291866028,101.74162679425838,1616.8133971291866,1628.4114832535886,316.4019138755981,326.8038277511962,157.3684210526316,121.46411483253588,24.105263157894736,25.894736842105264,22.411483253588518,21.71291866028708
Essex,70.67827637690776,2490.6812154390623,29.659262331342624,817.3401874585269,3.0351111479761115,1.90854899358549,1.6253428445034284,21.925367728378678,164.04265372705154,95.69900188011502,744.1921588144215,190.31657424084432,6313.466323822163,25.0,25009.0,Essex,25009.0,42.668762600000015,-70.94687178999997,11931.275862068966,715.7241379310345,0.0,11215.551724137931,1773.5610886222898,6.474203229955696,Essex,50.0,25.0,9.0,6.0,9.0,80481.22488038277,38718.583732057414,41762.64114832536,33575.21531100479,36422.82296650718,2476.354066985646,2510.306220095694,337.98086124401914,326.07655502392345,1358.909090909091,1513.0239234449762,56.30622009569378,61.07177033492823,913.8181818181819,929.3397129186603,34428.63157894737,37291.82775119617,3072.650717703349,3126.114832535885,566.5358851674641,554.5837320574162,1551.5693779904307,1706.641148325359,97.79904306220095,100.51674641148325,31365.13875598086,34112.516746411486,28307.57894736842,30913.741626794257,1214.8995215311004,1186.4114832535886,50.85167464114833,49.760765550239235,1295.5215311004786,1446.1148325358852,10.4688995215311,11.253588516746412,485.8181818181818,505.23444976076553,28761.33971291866,31385.77990430622,1483.1387559808613,1472.153110047847,162.8133971291866,167.5980861244019,1447.5502392344497,1599.4354066985645,31.67464114832536,32.708133971291865,7353.444976076555,7650.124401913876,5267.636363636364,5509.081339712919,1261.4545454545455,1323.8947368421052,287.1291866028708,276.3157894736842,63.38755980861244,66.9090909090909,45.83732057416268,49.81818181818182,428.0,424.10526315789474,5667.291866028708,5906.047846889952,1589.511961722488,1653.9617224880383,403.7224880382775,386.9856459330144,104.01913875598086,107.20574162679426,66.1244019138756,67.80861244019138
Franklin,45.22631440588854,4271.017402733964,18.73861724500526,534.4823080967403,2.03937960042061,1.4216351209253417,1.293559411146162,31.65483701366982,128.5939011566772,89.82726077812829,610.7044088928947,193.87468078714136,8164.403710380051,25.0,25011.0,Franklin,25011.0,42.581197129999985,-72.58602547000004,298.17241379310343,42.89655172413793,0.0,255.27586206896552,454.54545454545456,14.733542319749215,Franklin,50.0,25.0,11.0,6.0,9.0,7497.626794258374,3656.334928229665,3841.2918660287082,3453.2344497607655,3640.507177033493,59.69377990430622,43.68421052631579,13.311004784688995,16.31578947368421,53.61722488038278,60.18181818181818,2.7177033492822966,2.937799043062201,73.76076555023923,77.66507177033493,3520.6985645933014,3711.5215311004786,89.56937799043062,74.98564593301435,41.51196172248804,47.004784688995215,74.17224880382776,81.58851674641149,7.454545454545454,7.617224880382775,3513.004784688995,3715.5215311004786,3337.0143540669856,3538.401913875598,49.52153110047847,35.70334928229665,9.339712918660288,12.0,53.09090909090909,58.95693779904306,1.6363636363636365,1.6363636363636365,62.40191387559808,68.82296650717703,3394.1722488038276,3601.4832535885166,73.41626794258373,62.0,33.32057416267943,39.473684210526315,72.00956937799043,79.03349282296651,5.320574162679426,5.521531100478469,143.33014354066987,125.77033492822966,116.22009569377991,102.10526315789474,10.17224880382775,7.980861244019139,3.971291866028708,4.315789473684211,0.5263157894736842,1.2248803827751196,1.0813397129186604,1.3014354066985645,11.358851674641148,8.842105263157896,126.52631578947368,110.03827751196172,16.15311004784689,12.985645933014354,8.191387559808613,7.5311004784688995,2.1626794258373208,2.555023923444976,2.1339712918660285,2.0956937799043063
Hampden,103.11828899683468,4213.638445580537,44.150553802710654,664.7581209955706,3.8037657564899154,2.30656662707899,1.93383421088848,31.864752865858943,368.57317688555423,91.19122376891671,661.0137376237624,206.54698602213162,8993.022306348283,25.0,25013.0,Hampden,25013.0,42.13440424000001,-72.63235561000005,5012.586206896552,485.3103448275862,0.0,4527.275862068966,1274.0902112476736,9.575900370245707,Hampden,50.0,25.0,13.0,6.0,9.0,49165.77990430622,23693.57894736842,25472.2009569378,19873.923444976077,21298.114832535884,2489.7033492822966,2711.7033492822966,176.08612440191388,191.7799043062201,546.3923444976076,609.866028708134,39.42583732057416,42.2200956937799,568.0478468899521,618.5167464114833,20382.124401913876,21849.598086124402,2881.3014354066986,3144.2966507177034,358.7368421052632,396.64114832535887,642.4976076555024,709.5406698564593,65.5311004784689,68.63157894736842,18302.38277511962,19582.68899521531,15546.334928229666,16617.885167464116,1841.8277511961724,1961.7607655502393,39.464114832535884,37.119617224880386,517.3971291866029,574.0191387559809,7.464114832535885,7.186602870813397,349.89473684210526,384.7177033492823,15856.44976076555,16957.33971291866,2060.5837320574165,2206.803827751196,146.31578947368422,160.95693779904306,596.9856459330143,657.4928229665072,24.794258373205743,25.39712918660287,5391.196172248804,5889.511961722488,4327.588516746411,4680.22966507177,647.8755980861245,749.9425837320574,136.62200956937798,154.6602870813397,28.995215311004785,35.84688995215311,31.961722488038276,35.03349282296651,218.1531100478469,233.79904306220095,4525.6746411483255,4892.258373205742,820.7177033492823,937.4928229665072,212.42105263157896,235.68421052631578,45.51196172248804,52.047846889952154,40.73684210526316,43.23444976076555
Hampshire,55.236696652484746,3929.532208761182,21.513244082895607,581.5228262361352,2.6295025514978354,1.6760658273964741,1.3473156246490912,28.28666608441777,146.64358881583053,88.76455102371833,619.6141370214586,205.97445997005775,6802.293434091395,25.0,25015.0,Hampshire,25015.0,42.339979569999976,-72.65898478000003,719.3793103448276,62.93103448275862,0.0,656.448275862069,530.3736865012746,10.0820633059789,Hampshire,50.0,25.0,15.0,6.0,9.0,16867.31100478469,7884.306220095694,8983.004784688996,7050.354066985646,7979.215311004785,249.07177033492823,266.4593301435407,23.358851674641148,23.37799043062201,378.6507177033493,501.1387559808612,5.55023923444976,5.349282296650718,177.32057416267943,207.4641148325359,7211.521531100479,8167.712918660287,327.39712918660285,356.6124401913876,67.0909090909091,70.76555023923444,452.5263157894737,594.88995215311,15.157894736842104,17.177033492822968,7480.133971291866,8517.234449760766,6731.760765550239,7608.373205741626,211.3397129186603,225.11004784688996,12.803827751196172,12.45933014354067,372.7368421052632,493.57894736842104,3.291866028708134,3.8181818181818183,148.20095693779905,173.89473684210526,6867.358851674641,7766.937799043062,271.3492822966507,293.1578947368421,47.770334928229666,50.00956937799043,440.88038277511964,580.3062200956938,10.363636363636363,12.851674641148325,404.17224880382776,465.77033492822966,318.5933014354067,370.8421052631579,37.73205741626794,41.34928229665072,10.555023923444976,10.91866028708134,5.913875598086125,7.559808612440191,2.2583732057416266,1.5311004784688995,29.119617224880383,33.569377990430624,344.1626794258373,400.7751196172249,56.047846889952154,63.45454545454545,19.320574162679424,20.75598086124402,11.645933014354068,14.583732057416269,4.794258373205742,4.3253588516746415
Middlesex,64.79517037647706,3494.408621193238,29.101756875303867,785.479685881582,2.636877206333101,1.767390396770034,1.4235882110469908,17.30630905574228,159.2312686283214,95.09323408797853,730.6066171131325,188.18737422222893,7569.232326985426,25.0,25017.0,Middlesex,25017.0,42.48607732000003,-71.39049229000005,18399.827586206895,1301.9655172413793,0.0,17097.862068965518,1301.2355284702667,7.548159450696168,Middlesex,50.0,25.0,17.0,6.0,9.0,163807.24401913874,79895.07177033492,83912.17224880382,64802.62200956938,68219.52153110047,4370.028708133971,4568.296650717703,210.62200956937798,200.17224880382776,8734.267942583732,9129.837320574163,53.83732057416268,52.880382775119614,1723.6937799043062,1741.4641148325359,66399.67464114832,69824.02870813398,5066.277511961723,5292.9473684210525,523.0622009569378,525.6267942583733,9618.076555023923,10006.708133971291,132.94736842105263,133.10047846889952,73860.21052631579,77975.52153110047,59707.37799043062,63244.56459330144,3906.7272727272725,4075.5885167464116,95.42583732057416,95.6842105263158,8662.344497607655,9054.344497607655,22.794258373205743,23.636363636363637,1465.5406698564593,1481.7033492822966,61065.74162679426,64609.77033492823,4435.244019138756,4626.497607655502,333.6363636363636,348.11483253588517,9488.851674641148,9874.803827751197,87.69377990430623,92.04784688995215,6034.861244019139,5936.650717703349,5095.244019138756,4974.956937799043,463.30143540669854,492.7081339712919,115.19617224880383,104.48803827751196,71.92344497607655,75.49282296650718,31.04306220095694,29.24401913875598,258.1531100478469,259.7607655502392,5333.933014354067,5214.258373205742,631.0334928229665,666.4497607655502,189.42583732057417,177.51196172248802,129.22488038277513,131.9043062200957,45.25358851674641,41.05263157894737
Norfolk,74.28756617736609,3055.6860846640448,31.835862222126703,794.8545029264903,2.9191221245531462,1.7615071604089205,1.4625144175317186,19.67029522806565,186.39453530772923,94.73325596223144,733.4096903449653,192.2670985768457,7426.419249684,25.0,25021.0,Norfolk,25021.0,42.16073095000001,-71.20530407999996,7212.413793103448,688.8275862068965,0.0,6523.586206896552,1126.100951505076,10.189722326925493,Norfolk,50.0,25.0,21.0,6.0,9.0,72297.63636363637,34662.43062200957,37635.20574162679,28228.65071770335,30531.885167464116,2340.488038277512,2521.004784688995,70.23923444976077,72.9090909090909,3396.2296650717703,3830.200956937799,15.37799043062201,16.784688995215312,611.444976076555,662.421052631579,28779.97129186603,31126.296650717704,2594.1626794258373,2799.5693779904304,185.58851674641147,199.5311004784689,3706.813397129187,4164.210526315789,43.8755980861244,47.72248803827751,33287.95215311005,36206.88995215311,27147.13875598086,29423.913875598086,2161.818181818182,2322.822966507177,44.880382775119614,45.51196172248804,3378.2105263157896,3807.8564593301435,10.277511961722489,11.272727272727273,545.6267942583733,595.5119617224881,27640.114832535884,29959.52153110048,2373.665071770335,2556.842105263158,142.47846889952154,154.83253588516746,3673.9617224880385,4127.722488038277,34.18181818181818,38.11483253588517,1374.4784688995214,1428.3157894736842,1081.511961722488,1107.9712918660287,178.66985645933013,198.1818181818182,25.358851674641148,27.39712918660287,18.019138755980862,22.3444976076555,5.100478468899522,5.511961722488039,65.81818181818181,66.9090909090909,1139.8564593301435,1166.7751196172248,220.4976076555024,242.72727272727272,43.110047846889955,44.698564593301434,32.85167464114833,36.48803827751196,9.69377990430622,9.607655502392344
Plymouth,82.11928913738019,2981.0286208732696,33.994275825346115,774.2611909833156,3.385938054668087,1.996201632942847,1.5765397586084486,27.714936102236422,215.2015086971956,94.14622381966632,720.1619031319527,199.60709554325848,6565.685308789878,25.0,25023.0,Plymouth,25023.0,41.94070555999998,-70.80802823,6739.793103448276,433.3448275862069,0.0,6306.448275862069,1490.0173061500147,6.979139840329642,Plymouth,50.0,25.0,23.0,6.0,9.0,53080.775119617225,25815.253588516745,27265.52153110048,22315.82775119617,23591.090909090908,2595.3684210526317,2677.33971291866,83.30143540669856,84.29665071770334,327.377990430622,412.7751196172249,35.69377990430622,30.63157894736842,457.6842105263158,469.3875598086124,22716.794258373207,23999.636363636364,2860.2966507177034,2952.497607655502,211.55023923444975,217.41626794258374,451.6650717703349,537.8755980861245,62.85167464114833,59.27272727272727,24862.363636363636,26354.545454545456,21614.842105263157,22926.095693779906,2431.6746411483255,2514.4593301435407,61.97129186602871,64.88995215311004,321.4736842105263,405.5023923444976,23.358851674641148,26.019138755980862,409.0430622009569,417.57894736842104,21972.67942583732,23288.334928229666,2662.5645933014353,2752.401913875598,176.1244019138756,183.13875598086125,438.8899521531101,524.1722488038278,47.301435406698566,51.78947368421053,952.88995215311,910.976076555024,700.9856459330143,664.9952153110048,163.6937799043062,162.8803827751196,21.330143540669855,19.406698564593302,5.904306220095694,7.2727272727272725,12.334928229665072,4.6124401913875595,48.64114832535885,51.80861244019139,744.1148325358852,711.3014354066986,197.73205741626793,200.0956937799043,35.42583732057416,34.27751196172249,12.775119617224881,13.703349282296651,15.55023923444976,7.483253588516747
